cam1:
[135, 469]
[163, 490]
[180, 482]
[194, 488]
[215, 469]
[236, 471]
[250, 477]
[282, 457]
[291, 467]
[309, 478]
[308, 469]
[317, 446]
[331, 442]
[331, 432]
[325, 449]
[314, 449]
[296, 439]
[285, 450]
[273, 466]
[256, 467]
[224, 469]
[201, 455]
[166, 458]
[138, 452]
[114, 428]
[99, 436]
[76, 417]
[78, 420]
[97, 424]
[102, 429]
[108, 427]
[130, 430]
[155, 442]
[170, 447]
[202, 445]
[202, 441]
[208, 443]
[230, 421]
[231, 418]
[268, 408]
[284, 399]
[294, 383]
[304, 387]
[337, 385]
[307, 390]
[327, 379]
[330, 366]
[314, 384]
[299, 395]
[276, 402]

cam2:
[329, 561]
[361, 586]
[360, 598]
[381, 618]
[346, 605]
[340, 612]
[326, 614]
[335, 597]
[312, 611]
[282, 615]
[261, 604]
[260, 578]
[220, 575]
[192, 557]
[162, 574]
[131, 573]
[134, 560]
[111, 568]
[89, 581]
[85, 576]
[91, 576]
[101, 564]
[86, 559]
[106, 536]
[137, 526]
[150, 532]
[181, 511]
[212, 508]
[208, 496]
[216, 522]
[244, 533]
[283, 525]
[242, 557]
[281, 552]
[300, 557]
[307, 558]
[311, 550]
[326, 547]
[325, 538]
[322, 517]
[323, 491]
[290, 481]
[269, 489]
[232, 489]
[200, 497]
[174, 495]
[143, 474]
[117, 496]
[104, 508]
[112, 490]
